num_of_innings,total_runs,opponent_runs,game_id,game_date,game_location,game_attendance,is_top,team,season,opponent_innings_played,opponent,full_game_runs,opponent_full_game_runs,average_fgr,average_fgr_allowed,win_percentage,is_sec_matchup,sec_win_percentage,sec_average_fgr,sec_average_fgr_allowed,lag_average_fgr,lag_average_fgr_allowed,lag_win_percentage,lag_sec_win_percentage,lag_sec_average_fgr,lag_sec_average_fgr_allowed,game_count,is_power_5,most_recent_era,days_since_era_update,ly_era,conference
6,3,2,895510,2012-02-19,"Starkville, Miss.",81,0,Mississippi St.,2012,7,Mississippi Val.,3.5,2,5.85,2.5,0.88,1,0.88,5.85,2.5,6.19,2.57,0.86,0.86,6.19,2.57,8,0,3.65,234,3.65,SWAC
6,7,0,895656,2012-02-21,"Baton Rouge, La.",893,0,LSU,2012,7,Southeastern La.,8.166666666666666,0,7,3.29,0.56,1,0.56,7,3.29,6.86,3.7,0.5,0.5,6.86,3.7,9,0,4.66,236,4.66,Southland
7,8,1,895641,2012-02-21,"Birmingham, Ala.",1083,1,Alabama,2012,7,UAB,8,1,10.02,2.51,1,1,1,10.02,2.51,10.31,2.72,1,1,10.31,2.72,8,0,1.82,236,1.82,C-USA
5,9,1,895759,2012-02-22,"Columbia, SC",343,0,South Carolina,2012,5,Winthrop,12.6,1.4,10.03,3.66,0.67,1,0.67,10.03,3.66,9.51,4.11,0.6,0.6,9.51,4.11,6,0,3.64,237,3.64,Big South
5,9,1,895740,2012-02-22,"Panthersville, Ga.",219,1,Auburn,2012,5,Georgia St.,12.6,1.4,9.14,1.76,1,1,1,9.14,1.76,8.71,1.81,1,1,8.71,1.81,9,0,1.95,237,1.95,CAA
7,2,5,895904,2012-02-23,"Cathedral City, CA",530,0,Florida,2012,7,Washington,2,5,11.96,1.61,0.9,1,0.9,11.96,1.61,13.07,1.23,1,1,13.07,1.23,10,1,3.45,238,3.45,Pac-12
7,3,0,895910,2012-02-23,"Palm Springs, Calif.",0,1,Georgia,2012,7,Arizona,3,0,8.61,0.7,0.9,1,0.9,8.61,0.7,9.23,0.78,0.89,0.89,9.23,0.78,10,1,2.98,238,2.98,Pac-12
7,4,6,895914,2012-02-23,"Palm Springs, Calif.",738,1,Texas A&M,2012,6,Florida,4,7,4,7,0,1,0,4,7,0,0,0,0,0,0,1,1,2.16,238,2.16,SEC
6,6,4,895914,2012-02-23,"Palm Springs, Calif.",738,0,Florida,2012,7,Texas A&M,7,4,11.51,1.83,0.91,1,0.91,11.51,1.83,11.96,1.61,0.9,0.9,11.96,1.61,11,1,1.95,238,1.95,Big 12
7,12,5,895916,2012-02-23,"Cathedral City, CA",0,1,Georgia,2012,7,Cal St. Fullerton,12,5,8.92,1.09,0.91,1,0.91,8.92,1.09,8.61,0.7,0.9,0.9,8.61,0.7,11,0,3.51,238,3.51,Big West
7,6,1,895923,2012-02-24,"Boca Raton, FL",261,1,Auburn,2012,7,Fla. Atlantic,6,1,8.83,1.69,1,1,1,8.83,1.69,9.14,1.76,1,1,9.14,1.76,10,0,2.6,239,2.6,Sun Belt
7,3,0,896153,2012-02-24,"Palm Springs, Fla.",433,1,Florida,2012,7,BYU,3,0,10.8,1.67,0.92,1,0.92,10.8,1.67,11.51,1.83,0.91,0.91,11.51,1.83,12,0,2.33,239,2.33,Mountain West
7,9,0,896065,2012-02-24,"Clearwater, Fla.",88,1,Tennessee,2012,7,Georgia Tech,9,0,6.02,3.7,0.78,1,0.78,6.02,3.7,5.65,4.17,0.75,0.75,5.65,4.17,9,1,2.37,239,2.37,ACC
6,2,1,896187,2012-02-24,"Statesboro, Ga.",150,0,Kentucky,2012,7,Jacksonville St.,2.3333333333333335,1,2.09,4.4,0.5,1,0.5,2.09,4.4,2.07,4.78,0.44,0.44,2.07,4.78,10,0,2.74,239,2.74,OVC
6,10,7,895949,2012-02-24,"Fayetteville, Ark.",0,0,Arkansas,2012,7,Northwestern St.,11.666666666666666,7,9.71,3.11,0.78,1,0.78,9.71,3.11,9.47,2.62,0.75,0.75,9.47,2.62,9,0,2.09,239,2.09,Southland
6,7,0,895961,2012-02-24,"Fayetteville, Ark.",373,0,Arkansas,2012,7,Tennessee St.,8.166666666666666,0,9.56,2.8,0.8,1,0.8,9.56,2.8,9.71,3.11,0.78,0.78,9.71,3.11,10,0,6.85,239,6.85,OVC
5,9,0,896026,2012-02-24,"Boca Raton, Fla.",0,0,Auburn,2012,5,Florida A&M,12.6,0,9.17,1.53,1,1,1,9.17,1.53,8.83,1.69,1,1,8.83,1.69,11,0,3.62,239,3.62,MEAC
7,0,1,896064,2012-02-24,"Clearwater, Fla.",0,0,Mississippi St.,2012,7,South Fla.,0,1,5.2,2.33,0.78,1,0.78,5.2,2.33,5.85,2.5,0.88,0.88,5.85,2.5,9,0,2.46,239,2.46,AAC
7,1,2,896066,2012-02-24,"Clearwater, Fla.",274,0,Tennessee,2012,7,Winthrop,1,2,5.52,3.53,0.7,1,0.7,5.52,3.53,6.02,3.7,0.78,0.78,6.02,3.7,10,0,3.64,239,3.64,Big South
4,12,2,896082,2012-02-24,"Corpus Christi,Texas",134,0,Ole Miss,2012,5,UTSA,21,2.8,9.76,5.87,0.57,1,0.57,9.76,5.87,7.89,6.38,0.5,0.5,7.89,6.38,7,0,3.5,239,3.5,Southland
7,5,1,896152,2012-02-24,"Palm Springs, Calif.",538,1,Florida,2012,7,Texas,5,1,10.36,1.62,0.92,1,0.92,10.36,1.62,10.8,1.67,0.92,0.92,10.8,1.67,13,1,1.36,239,1.36,Big 12
7,8,3,896189,2012-02-24,"Statesboro, Ga.",0,1,Kentucky,2012,7,North Florida,8,3,2.63,4.27,0.55,1,0.55,2.63,4.27,2.09,4.4,0.5,0.5,2.09,4.4,11,0,3.13,239,3.13,ASUN
6,4,2,895930,2012-02-24,"TUSCALOOSA, Ala.",1199,0,Alabama,2012,7,East Carolina,4.666666666666667,2,9.43,2.45,1,1,1,9.43,2.45,10.02,2.51,1,1,10.02,2.51,9,0,1.46,239,1.46,C-USA
7,9,4,895947,2012-02-24,"Tuscaloosa, AL",1199,1,Alabama,2012,7,North Dakota St.,9,4,9.38,2.61,1,1,1,9.38,2.61,9.43,2.45,1,1,9.43,2.45,10,0,3.98,239,3.98,Summit League
